 v-sweep         v(vin)          v(vout)        
 0.00000000e+00  0.00000000e+00  1.49999578e+00 
 1.00000000e-03  1.00000000e-03  1.49999567e+00 
 2.00000000e-03  2.00000000e-03  1.49999557e+00 
 3.00000000e-03  3.00000000e-03  1.49999546e+00 
 4.00000000e-03  4.00000000e-03  1.49999534e+00 
 5.00000000e-03  5.00000000e-03  1.49999523e+00 
 6.00000000e-03  6.00000000e-03  1.49999511e+00 
 7.00000000e-03  7.00000000e-03  1.49999498e+00 
 8.00000000e-03  8.00000000e-03  1.49999485e+00 
 9.00000000e-03  9.00000000e-03  1.49999472e+00 
 1.00000000e-02  1.00000000e-02  1.49999458e+00 
 1.10000000e-02  1.10000000e-02  1.49999444e+00 
 1.20000000e-02  1.20000000e-02  1.49999429e+00 
 1.30000000e-02  1.30000000e-02  1.49999414e+00 
 1.40000000e-02  1.40000000e-02  1.49999399e+00 
 1.50000000e-02  1.50000000e-02  1.49999382e+00 
 1.60000000e-02  1.60000000e-02  1.49999366e+00 
 1.70000000e-02  1.70000000e-02  1.49999348e+00 
 1.80000000e-02  1.80000000e-02  1.49999330e+00 
 1.90000000e-02  1.90000000e-02  1.49999312e+00 
 2.00000000e-02  2.00000000e-02  1.49999293e+00 
 2.10000000e-02  2.10000000e-02  1.49999273e+00 
 2.20000000e-02  2.20000000e-02  1.49999253e+00 
 2.30000000e-02  2.30000000e-02  1.49999232e+00 
 2.40000000e-02  2.40000000e-02  1.49999210e+00 
 2.50000000e-02  2.50000000e-02  1.49999188e+00 
 2.60000000e-02  2.60000000e-02  1.49999165e+00 
 2.70000000e-02  2.70000000e-02  1.49999141e+00 
 2.80000000e-02  2.80000000e-02  1.49999116e+00 
 2.90000000e-02  2.90000000e-02  1.49999090e+00 
 3.00000000e-02  3.00000000e-02  1.49999064e+00 
 3.10000000e-02  3.10000000e-02  1.49999037e+00 
 3.20000000e-02  3.20000000e-02  1.49999008e+00 
 3.30000000e-02  3.30000000e-02  1.49998979e+00 
 3.40000000e-02  3.40000000e-02  1.49998949e+00 
 3.50000000e-02  3.50000000e-02  1.49998918e+00 
 3.60000000e-02  3.60000000e-02  1.49998886e+00 
 3.70000000e-02  3.70000000e-02  1.49998853e+00 
 3.80000000e-02  3.80000000e-02  1.49998819e+00 
 3.90000000e-02  3.90000000e-02  1.49998783e+00 
 4.00000000e-02  4.00000000e-02  1.49998747e+00 
 4.10000000e-02  4.10000000e-02  1.49998709e+00 
 4.20000000e-02  4.20000000e-02  1.49998670e+00 
 4.30000000e-02  4.30000000e-02  1.49998630e+00 
 4.40000000e-02  4.40000000e-02  1.49998588e+00 
 4.50000000e-02  4.50000000e-02  1.49998545e+00 
 4.60000000e-02  4.60000000e-02  1.49998501e+00 
 4.70000000e-02  4.70000000e-02  1.49998455e+00 
