 time            v(vin1)         v(vin2)         v(vout)        
 0.00000000e+00  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 1.00000000e-13  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 2.00000000e-13  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 4.00000000e-13  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 8.00000000e-13  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 1.60000000e-12  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 3.20000000e-12  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 6.40000000e-12  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 1.28000000e-11  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 2.28000000e-11  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 3.28000000e-11  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 4.28000000e-11  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 5.28000000e-11  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 6.28000000e-11  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 7.28000000e-11  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 8.28000000e-11  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 9.28000000e-11  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 1.02800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 1.12800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 1.22800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 1.32800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 1.42800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 1.52800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 1.62800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 1.72800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 1.82800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 1.92800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 2.02800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 2.12800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 2.22800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 2.32800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 2.42800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 2.52800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 2.62800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 2.72800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 2.82800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 2.92800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 3.02800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 3.12800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 3.22800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 3.32800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 3.42800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 3.52800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 3.62800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 3.72800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 3.82800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 3.92800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 4.02800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 4.12800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 4.22800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 4.32800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 4.42800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 4.52800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 4.62800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 4.72800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 4.82800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 4.91400000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 5.00000000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 5.00079918e-10  3.30246546e+00  3.30243785e+00  3.30004956e+00 
 5.00239753e-10  3.31087570e+00  3.31067567e+00  3.30035625e+00 
 5.00559425e-10  3.33552701e+00  3.33440651e+00  3.30198624e+00 
 5.00869581e-10  3.36419174e+00  3.36163702e+00  3.30455343e+00 
 5.01255274e-10  3.40266966e+00  3.39797832e+00  3.30849399e+00 
 5.01758135e-10  3.45678880e+00  3.44911769e+00  3.31426028e+00 
 5.02184374e-10  3.50712994e+00  3.49686815e+00  3.31954664e+00 
 5.02650850e-10  3.56445467e+00  3.55142089e+00  3.32551994e+00 
 5.03123225e-10  3.62174448e+00  3.60613833e+00  3.33141312e+00 
 5.03676532e-10  3.68566398e+00  3.66753012e+00  3.33769033e+00 
 5.04308334e-10  3.75329893e+00  3.73300906e+00  3.34371298e+00 
 5.05016468e-10  3.82211084e+00  3.80027266e+00  3.34888967e+00 
 5.06015097e-10  3.90796905e+00  3.88515475e+00  3.35359627e+00 
 5.07230541e-10  3.99882074e+00  3.97603515e+00  3.35613013e+00 
 5.08615870e-10  4.09064257e+00  4.06866732e+00  3.35626950e+00 
 5.10000000e-10  4.17678731e+00  4.15562574e+00  3.35498751e+00 
 5.10147279e-10  4.17532676e+00  4.15455260e+00  3.35440854e+00 
 5.10441837e-10  4.16128411e+00  4.14204778e+00  3.35213549e+00 
 5.10983324e-10  4.11797247e+00  4.10334433e+00  3.34471815e+00 
 5.11554632e-10  4.06388777e+00  4.05483332e+00  3.33463349e+00 
 5.12101091e-10  4.01098760e+00  4.00688269e+00  3.32445671e+00 
 5.12739871e-10  3.95095782e+00  3.95168447e+00  3.31308975e+00 
 5.13385641e-10  3.89290220e+00  3.89750818e+00  3.30270057e+00 
 5.14156535e-10  3.82662594e+00  3.83487874e+00  3.29196846e+00 
 5.15023609e-10  3.75478664e+00  3.76636109e+00  3.28194358e+00 
 5.16069423e-10  3.66962962e+00  3.68481269e+00  3.27220899e+00 
 5.17166963e-10  3.57148869e+00  3.59322901e+00  3.26345559e+00 
 5.17811224e-10  3.49147502e+00  3.52039175e+00  3.25748906e+00 
 5.18571889e-10  3.40059402e+00  3.43409337e+00  3.25038177e+00 
 5.19245498e-10  3.32620568e+00  3.36365257e+00  3.24497297e+00 
 5.19992838e-10  3.24834829e+00  3.28955404e+00  3.24022239e+00 
 5.20903076e-10  3.15813427e+00  3.20318594e+00  3.23596098e+00 
 5.22179304e-10  3.03755540e+00  3.08691476e+00  3.23205127e+00 
 5.23524482e-10  2.91962346e+00  2.97012188e+00  3.22978105e+00 
 5.24735870e-10  2.82584150e+00  2.87450699e+00  3.22872828e+00 
 5.26116641e-10  2.72854341e+00  2.77689085e+00  3.22770141e+00 
 5.27827171e-10  2.61509503e+00  2.66511730e+00  3.22646183e+00 
 5.29913205e-10  2.48227101e+00  2.53522598e+00  3.22573465e+00 
 5.32140351e-10  2.34467398e+00  2.40048766e+00  3.22663485e+00 
 5.35163250e-10  2.16357503e+00  2.22170825e+00  3.23122651e+00 
 5.38854907e-10  1.95153602e+00  2.00921872e+00  3.24222196e+00 
 5.43782341e-10  1.68625881e+00  1.73708892e+00  3.26530363e+00 
 5.49526042e-10  1.40619230e+00  1.44051726e+00  3.30222301e+00 
 5.55440112e-10  1.15304788e+00  1.16330686e+00  3.34996956e+00 
 5.58992738e-10  1.01528517e+00  1.01119027e+00  3.38461423e+00 
 5.61194898e-10  9.32538864e-01  9.22241788e-01  3.40938936e+00 
 5.63695462e-10  8.40844244e-01  8.26705861e-01  3.44104414e+00 
 5.65620689e-10  7.73457898e-01  7.57509275e-01  3.46748660e+00 
 5.67034666e-10  7.26255310e-01  7.09112501e-01  3.48777046e+00 
 5.68871236e-10  6.68780948e-01  6.49885968e-01  3.51362483e+00 
 5.70371976e-10  6.25364876e-01  6.04860036e-01  3.53316254e+00 
 5.72305259e-10  5.74137129e-01  5.51537265e-01  3.55501895e+00 
 5.74478681e-10  5.22644232e-01  4.97929212e-01  3.57403431e+00 
 5.77027014e-10  4.70053530e-01  4.43417347e-01  3.58768405e+00 
 5.80267416e-10  4.14269282e-01  3.86200413e-01  3.59049108e+00 
 5.83862294e-10  3.65003071e-01  3.36611635e-01  3.57407393e+00 
 5.87537302e-10  3.25648505e-01  2.98065037e-01  3.53623251e+00 
 5.91586878e-10  2.91216831e-01  2.65465531e-01  3.47042448e+00 
 5.96316423e-10  2.57537362e-01  2.34635011e-01  3.36041414e+00 
 5.98805167e-10  2.41554488e-01  2.20263550e-01  3.28558261e+00 
 6.00041827e-10  2.34090432e-01  2.13569409e-01  3.24037558e+00 
 6.00984735e-10  2.28886883e-01  2.08885680e-01  3.19684662e+00 
 6.02133048e-10  2.23566929e-01  2.04065519e-01  3.13194151e+00 
 6.03104623e-10  2.20019990e-01  2.00840281e-01  3.07354656e+00 
 6.04211690e-10  2.16850996e-01  1.97981089e-01  3.00363014e+00 
 6.05272645e-10  2.13580465e-01  1.95132289e-01  2.93410502e+00 
 6.06343441e-10  2.09324087e-01  1.91482842e-01  2.86482644e+00 
 6.07467546e-10  2.03926286e-01  1.86822808e-01  2.79614833e+00 
 6.09165393e-10  1.94664719e-01  1.78702648e-01  2.69874272e+00 
 6.11237438e-10  1.82319723e-01  1.67721833e-01  2.58508911e+00 
 6.13626717e-10  1.67485437e-01  1.54388662e-01  2.45730333e+00 
 6.15945986e-10  1.53117186e-01  1.41380523e-01  2.33509366e+00 
 6.19130058e-10  1.34307511e-01  1.24258009e-01  2.16958592e+00 
 6.22913930e-10  1.14014323e-01  1.05696979e-01  1.97675034e+00 
 6.28289915e-10  8.94558607e-02  8.31403421e-02  1.71246482e+00 
 6.34840516e-10  6.58523237e-02  6.13720308e-02  1.41239442e+00 
 6.37456157e-10  5.82355654e-02  5.43224359e-02  1.30124370e+00 
 6.39171978e-10  5.37493772e-02  5.01641968e-02  1.23157817e+00 
 6.40638437e-10  5.02043516e-02  4.68759513e-02  1.17411714e+00 
 6.42198612e-10  4.66993128e-02  4.36230206e-02  1.11513434e+00 
 6.44180133e-10  4.26428685e-02  3.98536223e-02  1.04476238e+00 
 6.46603685e-10  3.82928699e-02  3.58033763e-02  9.68077329e-01 
 6.49411303e-10  3.39726089e-02  3.17778153e-02  8.91576444e-01 
 6.51868284e-10  3.06810757e-02  2.87128552e-02  8.33482264e-01 
 6.53989226e-10  2.81168616e-02  2.63270524e-02  7.88470734e-01 
 6.56524403e-10  2.52808225e-02  2.36905600e-02  7.38227625e-01 
 6.58894334e-10  2.27728906e-02  2.13611254e-02  6.91904646e-01 
 6.61551554e-10  2.00778173e-02  1.88572452e-02  6.38029626e-01 
 6.64869323e-10  1.69467930e-02  1.59405363e-02  5.67169789e-01 
 6.68171259e-10  1.42082936e-02  1.33779843e-02  4.94616988e-01 
 6.71880991e-10  1.17757593e-02  1.10850396e-02  4.17545042e-01 
 6.75330912e-10  1.01445343e-02  9.53642403e-03  3.54368062e-01 
 6.79099045e-10  8.84885841e-03  8.30655426e-03  2.94703767e-01 
 6.85820870e-10  7.18679692e-03  6.73592865e-03  2.09852360e-01 
