 time            v(vin1)         v(vin2)         v(vout)        
 0.00000000e+00  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 1.00000000e-12  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 2.00000000e-12  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 4.00000000e-12  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 8.00000000e-12  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 1.60000000e-11  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 3.20000000e-11  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 6.40000000e-11  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 1.28000000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 2.28000000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 3.28000000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 4.28000000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 5.28000000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 6.28000000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 7.28000000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 8.28000000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 9.28000000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 1.02800000e-09  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 1.12800000e-09  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 1.18900000e-09  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 1.25000000e-09  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 1.25034581e-09  3.30199211e+00  3.30000018e+00  3.30001616e+00 
 1.25103742e-09  3.30731242e+00  3.30000095e+00  3.30006569e+00 
 1.25242065e-09  3.31969047e+00  3.30000262e+00  3.30016066e+00 
 1.25375653e-09  3.33211015e+00  3.30000313e+00  3.30021889e+00 
 1.25642829e-09  3.35506134e+00  3.30000140e+00  3.30025103e+00 
 1.25989751e-09  3.37955726e+00  3.29999857e+00  3.30021138e+00 
 1.26545571e-09  3.40884800e+00  3.29999754e+00  3.30012490e+00 
 1.26843332e-09  3.42147958e+00  3.29999840e+00  3.30009478e+00 
 1.27211876e-09  3.43401470e+00  3.29999950e+00  3.30006714e+00 
 1.27486653e-09  3.44045160e+00  3.29999993e+00  3.30004511e+00 
 1.27913692e-09  3.44517504e+00  3.30000013e+00  3.30000809e+00 
 1.28336636e-09  3.44350672e+00  3.30000014e+00  3.29997112e+00 
 1.29135459e-09  3.42345813e+00  3.30000016e+00  3.29990367e+00 
 1.30125286e-09  3.36824200e+00  3.30000013e+00  3.29982073e+00 
