 time            v(vin1)         v(vin2)         v(vout)        
 0.00000000e+00  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 1.00000000e-13  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 2.00000000e-13  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 4.00000000e-13  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 8.00000000e-13  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 1.60000000e-12  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 3.20000000e-12  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 6.40000000e-12  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 1.28000000e-11  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 2.28000000e-11  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 3.28000000e-11  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 4.28000000e-11  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 5.28000000e-11  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 6.28000000e-11  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 7.28000000e-11  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 8.28000000e-11  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 9.28000000e-11  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 1.02800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 1.12800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 1.22800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 1.32800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 1.42800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 1.52800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 1.62800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 1.72800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 1.82800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 1.92800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 2.02800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 2.12800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 2.22800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 2.32800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 2.42800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 2.52800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 2.62800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 2.72800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 2.82800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 2.92800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 3.02800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 3.12800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 3.22800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 3.32800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 3.42800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 3.52800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 3.62800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 3.72800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 3.82800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 3.92800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 4.02800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 4.12800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 4.22800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 4.32800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 4.42800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 4.52800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 4.62800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 4.72800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 4.82800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 4.91400000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 5.00000000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 5.00079483e-10  3.30000024e+00  3.30238423e+00  3.30003174e+00 
 5.00238449e-10  3.30000254e+00  3.31035062e+00  3.30021875e+00 
 5.00556381e-10  3.30002402e+00  3.33278888e+00  3.30114114e+00 
 5.00868824e-10  3.30006958e+00  3.35842313e+00  3.30253963e+00 
 5.01252194e-10  3.30014811e+00  3.39200890e+00  3.30457704e+00 
 5.01754056e-10  3.30026223e+00  3.43972744e+00  3.30746795e+00 
 5.02171530e-10  3.30035441e+00  3.48389909e+00  3.31000320e+00 
 5.02639934e-10  3.30044627e+00  3.53614654e+00  3.31287315e+00 
 5.03110410e-10  3.30051965e+00  3.58867250e+00  3.31560148e+00 
 5.03660214e-10  3.30057392e+00  3.64821148e+00  3.31839456e+00 
 5.04291071e-10  3.30059110e+00  3.71297706e+00  3.32095086e+00 
 5.04991760e-10  3.30055982e+00  3.77994793e+00  3.32296998e+00 
 5.05985747e-10  3.30045373e+00  3.86627879e+00  3.32456744e+00 
 5.07213189e-10  3.30027923e+00  3.96110969e+00  3.32506473e+00 
 5.08622109e-10  3.30008503e+00  4.05869503e+00  3.32449276e+00 
 5.10000000e-10  3.29994038e+00  4.14775487e+00  3.32347935e+00 
 5.10154086e-10  3.29992403e+00  4.14695787e+00  3.32310116e+00 
 5.10462258e-10  3.29987520e+00  4.13547413e+00  3.32170108e+00 
 5.10994621e-10  3.29972728e+00  4.10254249e+00  3.31779562e+00 
 5.11536944e-10  3.29953224e+00  4.06252318e+00  3.31299606e+00 
 5.12122068e-10  3.29933095e+00  4.01691608e+00  3.30778458e+00 
 5.12735488e-10  3.29917149e+00  3.96838011e+00  3.30276583e+00 
 5.13393515e-10  3.29907332e+00  3.91647121e+00  3.29809842e+00 
 5.14119292e-10  3.29904360e+00  3.85985620e+00  3.29383185e+00 
 5.14966397e-10  3.29908480e+00  3.79467482e+00  3.28987339e+00 
 5.15939406e-10  3.29919092e+00  3.72054735e+00  3.28637790e+00 
 5.17135430e-10  3.29934974e+00  3.62733180e+00  3.28303153e+00 
 5.17769424e-10  3.29942431e+00  3.56820739e+00  3.28119464e+00 
 5.18555974e-10  3.29948261e+00  3.48142085e+00  3.27838099e+00 
 5.19195731e-10  3.29951718e+00  3.41596385e+00  3.27625755e+00 
 5.19901212e-10  3.29956415e+00  3.34699625e+00  3.27438449e+00 
 5.20714962e-10  3.29963622e+00  3.27011333e+00  3.27277942e+00 
 5.21835662e-10  3.29974948e+00  3.16750037e+00  3.27126328e+00 
 5.23428570e-10  3.29989950e+00  3.02674068e+00  3.26997273e+00 
 5.24665706e-10  3.29999579e+00  2.92367182e+00  3.26952709e+00 
 5.25779948e-10  3.30006651e+00  2.83950236e+00  3.26957591e+00 
 5.27234110e-10  3.30013473e+00  2.73907959e+00  3.27011448e+00 
 5.28925288e-10  3.30018430e+00  2.62957797e+00  3.27108288e+00 
 5.31033415e-10  3.30021501e+00  2.49857653e+00  3.27236461e+00 
 5.33113147e-10  3.30022336e+00  2.37265905e+00  3.27348567e+00 
 5.36154028e-10  3.30021605e+00  2.19256173e+00  3.27480652e+00 
 5.39772473e-10  3.30019738e+00  1.98439795e+00  3.27605012e+00 
 5.43739860e-10  3.30017606e+00  1.76524928e+00  3.27716536e+00 
 5.48150565e-10  3.30015267e+00  1.53540807e+00  3.27817366e+00 
 5.53136779e-10  3.30012224e+00  1.29688474e+00  3.27901299e+00 
 5.58899798e-10  3.30007652e+00  1.05460062e+00  3.27944348e+00 
 5.60866624e-10  3.30011677e+00  9.77445434e-01  3.27717569e+00 
 5.63287076e-10  3.30013114e+00  8.85225739e-01  3.27142329e+00 
 5.65011819e-10  3.30007333e+00  8.22887475e-01  3.26693207e+00 
 5.66896144e-10  3.29998665e+00  7.58986838e-01  3.26298715e+00 
 5.68975018e-10  3.29992994e+00  6.93956543e-01  3.26060051e+00 
 5.71088445e-10  3.29993832e+00  6.33689550e-01  3.26075644e+00 
 5.73885814e-10  3.30003012e+00  5.62252391e-01  3.26532323e+00 
 5.77057716e-10  3.30019387e+00  4.90730742e-01  3.27653446e+00 
 5.80547216e-10  3.30041016e+00  4.18546919e-01  3.29655892e+00 
 5.84087951e-10  3.30062012e+00  3.50607893e-01  3.32408262e+00 
 5.86553864e-10  3.30069920e+00  3.10812697e-01  3.34505643e+00 
 5.89469284e-10  3.30071631e+00  2.69672889e-01  3.37065726e+00 
 5.93785373e-10  3.30065093e+00  2.18262237e-01  3.40897853e+00 
 6.00150724e-10  3.30046524e+00  1.59643274e-01  3.46379797e+00 
 6.03392544e-10  3.30032283e+00  1.36281225e-01  3.48966227e+00 
 6.07915782e-10  3.30010382e+00  1.09589241e-01  3.52098160e+00 
 6.11251507e-10  3.29995913e+00  9.38298268e-02  3.53915465e+00 
 6.15396138e-10  3.29980338e+00  7.78778625e-02  3.55454417e+00 
 6.19466869e-10  3.29966482e+00  6.53599060e-02  3.56132982e+00 
 6.25451610e-10  3.29948691e+00  5.13048336e-02  3.55639610e+00 
 6.33130110e-10  3.29932967e+00  3.89218564e-02  3.52618988e+00 
 6.42212641e-10  3.29926224e+00  3.00009578e-02  3.46014154e+00 
 6.52212641e-10  3.29932003e+00  2.48122157e-02  3.35336966e+00 
 6.62212641e-10  3.29949426e+00  2.25119654e-02  3.20622692e+00 
 6.69893576e-10  3.29970859e+00  2.21409542e-02  3.04464534e+00 
 6.73713087e-10  3.29983765e+00  2.25138614e-02  2.93726624e+00 
 6.76533292e-10  3.29993299e+00  2.29724855e-02  2.84605427e+00 
 6.78623856e-10  3.30000984e+00  2.33571035e-02  2.77657223e+00 
 6.81898561e-10  3.30009915e+00  2.38989874e-02  2.66827416e+00 
 6.84937259e-10  3.30012109e+00  2.42520737e-02  2.56672089e+00 
 6.88484437e-10  3.30009875e+00  2.44765636e-02  2.44537644e+00 
 6.92303622e-10  3.30005830e+00  2.45259944e-02  2.31117305e+00 
 6.97032246e-10  3.30001412e+00  2.43590367e-02  2.14089553e+00 
 7.02860121e-10  3.29997461e+00  2.38829990e-02  1.92726594e+00 
 7.10301525e-10  3.29993677e+00  2.30201563e-02  1.65377424e+00 
 7.17205617e-10  3.29992100e+00  2.20950273e-02  1.40772935e+00 
 7.19714247e-10  3.29993854e+00  2.16670462e-02  1.32199569e+00 
 7.21498150e-10  3.29996210e+00  2.13209835e-02  1.26265750e+00 
 7.23202109e-10  3.29999118e+00  2.09709460e-02  1.20757447e+00 
 7.25682784e-10  3.30004295e+00  2.04586695e-02  1.13156686e+00 
 7.28114388e-10  3.30010228e+00  1.99768715e-02  1.06353882e+00 
 7.31160487e-10  3.30016829e+00  1.93928016e-02  9.87513134e-01 
 7.33736229e-10  3.30020526e+00  1.88973152e-02  9.30079752e-01 
 7.35995755e-10  3.30022217e+00  1.84527218e-02  8.83903283e-01 
 7.38370630e-10  3.30022431e+00  1.79625720e-02  8.38203446e-01 
 7.40998791e-10  3.30020609e+00  1.73669161e-02  7.88509479e-01 
 7.44392447e-10  3.30015924e+00  1.64938945e-02  7.21844242e-01 
 7.47728735e-10  3.30011064e+00  1.55531339e-02  6.52358965e-01 
