 time            v(vin1)         v(vin2)         v(vout)        
 0.00000000e+00  3.30000000e+00  3.30000000e+00  4.79047584e-09 
 1.00000000e-13  3.30000000e+00  3.30000000e+00  4.79047674e-09 
 2.00000000e-13  3.30000000e+00  3.30000000e+00  4.79047831e-09 
 4.00000000e-13  3.30000000e+00  3.30000000e+00  4.79047597e-09 
 8.00000000e-13  3.30000000e+00  3.30000000e+00  4.79047553e-09 
 1.60000000e-12  3.30000000e+00  3.30000000e+00  4.79046769e-09 
 3.20000000e-12  3.30000000e+00  3.30000000e+00  4.79046796e-09 
 6.40000000e-12  3.30000000e+00  3.30000000e+00  4.79046742e-09 
 1.28000000e-11  3.30000000e+00  3.30000000e+00  4.79047208e-09 
 2.28000000e-11  3.30000000e+00  3.30000000e+00  4.79047365e-09 
 3.28000000e-11  3.30000000e+00  3.30000000e+00  4.79047447e-09 
 4.28000000e-11  3.30000000e+00  3.30000000e+00  4.79047503e-09 
 5.28000000e-11  3.30000000e+00  3.30000000e+00  4.79047391e-09 
 6.28000000e-11  3.30000000e+00  3.30000000e+00  4.79047389e-09 
 7.28000000e-11  3.30000000e+00  3.30000000e+00  4.79047409e-09 
 8.28000000e-11  3.30000000e+00  3.30000000e+00  4.79047387e-09 
 9.28000000e-11  3.30000000e+00  3.30000000e+00  4.79047475e-09 
 1.02800000e-10  3.30000000e+00  3.30000000e+00  4.79047517e-09 
 1.12800000e-10  3.30000000e+00  3.30000000e+00  4.79047461e-09 
 1.22800000e-10  3.30000000e+00  3.30000000e+00  4.79047405e-09 
 1.32800000e-10  3.30000000e+00  3.30000000e+00  4.79047479e-09 
 1.42800000e-10  3.30000000e+00  3.30000000e+00  4.79047433e-09 
 1.52800000e-10  3.30000000e+00  3.30000000e+00  4.79047401e-09 
 1.62800000e-10  3.30000000e+00  3.30000000e+00  4.79047533e-09 
 1.72800000e-10  3.30000000e+00  3.30000000e+00  4.79047516e-09 
 1.82800000e-10  3.30000000e+00  3.30000000e+00  4.79047499e-09 
 1.92800000e-10  3.30000000e+00  3.30000000e+00  4.79047414e-09 
 2.02800000e-10  3.30000000e+00  3.30000000e+00  4.79047380e-09 
 2.12800000e-10  3.30000000e+00  3.30000000e+00  4.79047368e-09 
 2.22800000e-10  3.30000000e+00  3.30000000e+00  4.79047427e-09 
 2.32800000e-10  3.30000000e+00  3.30000000e+00  4.79047614e-09 
 2.42800000e-10  3.30000000e+00  3.30000000e+00  4.79047530e-09 
 2.52800000e-10  3.30000000e+00  3.30000000e+00  4.79047498e-09 
 2.62800000e-10  3.30000000e+00  3.30000000e+00  4.79047579e-09 
 2.72800000e-10  3.30000000e+00  3.30000000e+00  4.79047549e-09 
 2.82800000e-10  3.30000000e+00  3.30000000e+00  4.79047574e-09 
 2.92800000e-10  3.30000000e+00  3.30000000e+00  4.79047531e-09 
 3.02800000e-10  3.30000000e+00  3.30000000e+00  4.79047604e-09 
 3.12800000e-10  3.30000000e+00  3.30000000e+00  4.79047500e-09 
 3.22800000e-10  3.30000000e+00  3.30000000e+00  4.79047592e-09 
 3.32800000e-10  3.30000000e+00  3.30000000e+00  4.79047575e-09 
 3.42800000e-10  3.30000000e+00  3.30000000e+00  4.79047593e-09 
 3.52800000e-10  3.30000000e+00  3.30000000e+00  4.79047542e-09 
 3.62800000e-10  3.30000000e+00  3.30000000e+00  4.79047579e-09 
 3.72800000e-10  3.30000000e+00  3.30000000e+00  4.79047592e-09 
 3.82800000e-10  3.30000000e+00  3.30000000e+00  4.79047441e-09 
 3.92800000e-10  3.30000000e+00  3.30000000e+00  4.79047392e-09 
 4.02800000e-10  3.30000000e+00  3.30000000e+00  4.79047352e-09 
 4.12800000e-10  3.30000000e+00  3.30000000e+00  4.79047472e-09 
 4.22800000e-10  3.30000000e+00  3.30000000e+00  4.79047463e-09 
 4.32800000e-10  3.30000000e+00  3.30000000e+00  4.79047368e-09 
 4.42800000e-10  3.30000000e+00  3.30000000e+00  4.79047372e-09 
 4.52800000e-10  3.30000000e+00  3.30000000e+00  4.79047293e-09 
 4.62800000e-10  3.30000000e+00  3.30000000e+00  4.79047329e-09 
 4.72800000e-10  3.30000000e+00  3.30000000e+00  4.79047357e-09 
 4.82800000e-10  3.30000000e+00  3.30000000e+00  4.79047314e-09 
