 time            v(vin1)         v(vin2)         v(vout)        
 0.00000000e+00  3.30000000e+00  3.30000000e+00  2.25310778e-10 
 1.00000000e-13  3.30000000e+00  3.30000000e+00  2.25308877e-10 
 2.00000000e-13  3.30000000e+00  3.30000000e+00  2.25309455e-10 
 4.00000000e-13  3.30000000e+00  3.30000000e+00  2.25309940e-10 
 8.00000000e-13  3.30000000e+00  3.30000000e+00  2.25311433e-10 
 1.60000000e-12  3.30000000e+00  3.30000000e+00  2.25311660e-10 
 3.20000000e-12  3.30000000e+00  3.30000000e+00  2.25310160e-10 
 6.40000000e-12  3.30000000e+00  3.30000000e+00  2.25308706e-10 
 1.28000000e-11  3.30000000e+00  3.30000000e+00  2.25310262e-10 
 2.28000000e-11  3.30000000e+00  3.30000000e+00  2.25311284e-10 
 3.28000000e-11  3.30000000e+00  3.30000000e+00  2.25311752e-10 
 4.28000000e-11  3.30000000e+00  3.30000000e+00  2.25312305e-10 
 5.28000000e-11  3.30000000e+00  3.30000000e+00  2.25312002e-10 
 6.28000000e-11  3.30000000e+00  3.30000000e+00  2.25311631e-10 
 7.28000000e-11  3.30000000e+00  3.30000000e+00  2.25311853e-10 
 8.28000000e-11  3.30000000e+00  3.30000000e+00  2.25311968e-10 
 9.28000000e-11  3.30000000e+00  3.30000000e+00  2.25312379e-10 
 1.02800000e-10  3.30000000e+00  3.30000000e+00  2.25311685e-10 
 1.12800000e-10  3.30000000e+00  3.30000000e+00  2.25311591e-10 
 1.22800000e-10  3.30000000e+00  3.30000000e+00  2.25311725e-10 
 1.32800000e-10  3.30000000e+00  3.30000000e+00  2.25311389e-10 
 1.42800000e-10  3.30000000e+00  3.30000000e+00  2.25311099e-10 
 1.52800000e-10  3.30000000e+00  3.30000000e+00  2.25311941e-10 
 1.62800000e-10  3.30000000e+00  3.30000000e+00  2.25311732e-10 
 1.72800000e-10  3.30000000e+00  3.30000000e+00  2.25311995e-10 
 1.82800000e-10  3.30000000e+00  3.30000000e+00  2.25311611e-10 
 1.92800000e-10  3.30000000e+00  3.30000000e+00  2.25311928e-10 
 2.02800000e-10  3.30000000e+00  3.30000000e+00  2.25311894e-10 
 2.12800000e-10  3.30000000e+00  3.30000000e+00  2.25311294e-10 
 2.22800000e-10  3.30000000e+00  3.30000000e+00  2.25311759e-10 
 2.32800000e-10  3.30000000e+00  3.30000000e+00  2.25311800e-10 
 2.42800000e-10  3.30000000e+00  3.30000000e+00  2.25312002e-10 
 2.52800000e-10  3.30000000e+00  3.30000000e+00  2.25312035e-10 
 2.62800000e-10  3.30000000e+00  3.30000000e+00  2.25312177e-10 
 2.72800000e-10  3.30000000e+00  3.30000000e+00  2.25311665e-10 
 2.82800000e-10  3.30000000e+00  3.30000000e+00  2.25311321e-10 
 2.92800000e-10  3.30000000e+00  3.30000000e+00  2.25311732e-10 
 3.02800000e-10  3.30000000e+00  3.30000000e+00  2.25311833e-10 
 3.12800000e-10  3.30000000e+00  3.30000000e+00  2.25311678e-10 
