 time            v(vin1)         v(vin2)         v(vout)        
 0.00000000e+00  3.30000000e+00  3.30000000e+00  4.87909720e-10 
 1.00000000e-13  3.30000000e+00  3.30000000e+00  4.87907877e-10 
 2.00000000e-13  3.30000000e+00  3.30000000e+00  4.87909335e-10 
 4.00000000e-13  3.30000000e+00  3.30000000e+00  4.87908071e-10 
 8.00000000e-13  3.30000000e+00  3.30000000e+00  4.87907622e-10 
 1.60000000e-12  3.30000000e+00  3.30000000e+00  4.87908990e-10 
 3.20000000e-12  3.30000000e+00  3.30000000e+00  4.87911329e-10 
 6.40000000e-12  3.30000000e+00  3.30000000e+00  4.87910970e-10 
 1.28000000e-11  3.30000000e+00  3.30000000e+00  4.87910028e-10 
 2.28000000e-11  3.30000000e+00  3.30000000e+00  4.87910458e-10 
 3.28000000e-11  3.30000000e+00  3.30000000e+00  4.87909541e-10 
 4.28000000e-11  3.30000000e+00  3.30000000e+00  4.87910520e-10 
 5.28000000e-11  3.30000000e+00  3.30000000e+00  4.87909891e-10 
 6.28000000e-11  3.30000000e+00  3.30000000e+00  4.87909961e-10 
 7.28000000e-11  3.30000000e+00  3.30000000e+00  4.87910381e-10 
 8.28000000e-11  3.30000000e+00  3.30000000e+00  4.87910031e-10 
 9.28000000e-11  3.30000000e+00  3.30000000e+00  4.87910241e-10 
 1.02800000e-10  3.30000000e+00  3.30000000e+00  4.87909996e-10 
 1.12800000e-10  3.30000000e+00  3.30000000e+00  4.87910485e-10 
 1.22800000e-10  3.30000000e+00  3.30000000e+00  4.87910625e-10 
 1.32800000e-10  3.30000000e+00  3.30000000e+00  4.87910555e-10 
 1.42800000e-10  3.30000000e+00  3.30000000e+00  4.87910241e-10 
 1.52800000e-10  3.30000000e+00  3.30000000e+00  4.87910346e-10 
 1.62800000e-10  3.30000000e+00  3.30000000e+00  4.87910031e-10 
 1.72800000e-10  3.30000000e+00  3.30000000e+00  4.87909961e-10 
 1.82800000e-10  3.30000000e+00  3.30000000e+00  4.87910625e-10 
 1.92800000e-10  3.30000000e+00  3.30000000e+00  4.87910800e-10 
 2.02800000e-10  3.30000000e+00  3.30000000e+00  4.87910730e-10 
 2.12800000e-10  3.30000000e+00  3.30000000e+00  4.87910031e-10 
 2.22800000e-10  3.30000000e+00  3.30000000e+00  4.87909891e-10 
 2.32800000e-10  3.30000000e+00  3.30000000e+00  4.87909471e-10 
 2.42800000e-10  3.30000000e+00  3.30000000e+00  4.87910206e-10 
 2.52800000e-10  3.30000000e+00  3.30000000e+00  4.87909891e-10 
 2.62800000e-10  3.30000000e+00  3.30000000e+00  4.87910485e-10 
 2.72800000e-10  3.30000000e+00  3.30000000e+00  4.87910276e-10 
 2.82800000e-10  3.30000000e+00  3.30000000e+00  4.87910381e-10 
 2.92800000e-10  3.30000000e+00  3.30000000e+00  4.87909961e-10 
 3.02800000e-10  3.30000000e+00  3.30000000e+00  4.87910171e-10 
 3.12800000e-10  3.30000000e+00  3.30000000e+00  4.87909926e-10 
 3.22800000e-10  3.30000000e+00  3.30000000e+00  4.87910555e-10 
 3.32800000e-10  3.30000000e+00  3.30000000e+00  4.87910485e-10 
 3.42800000e-10  3.30000000e+00  3.30000000e+00  4.87910905e-10 
 3.52800000e-10  3.30000000e+00  3.30000000e+00  4.87910450e-10 
 3.62800000e-10  3.30000000e+00  3.30000000e+00  4.87910066e-10 
 3.72800000e-10  3.30000000e+00  3.30000000e+00  4.87909961e-10 
 3.82800000e-10  3.30000000e+00  3.30000000e+00  4.87909506e-10 
 3.92800000e-10  3.30000000e+00  3.30000000e+00  4.87909821e-10 
 4.02800000e-10  3.30000000e+00  3.30000000e+00  4.87909716e-10 
 4.12800000e-10  3.30000000e+00  3.30000000e+00  4.87910136e-10 
 4.22800000e-10  3.30000000e+00  3.30000000e+00  4.87909366e-10 
 4.32800000e-10  3.30000000e+00  3.30000000e+00  4.87909856e-10 
 4.42800000e-10  3.30000000e+00  3.30000000e+00  4.87909996e-10 
 4.52800000e-10  3.30000000e+00  3.30000000e+00  4.87909751e-10 
 4.62800000e-10  3.30000000e+00  3.30000000e+00  4.87910276e-10 
 4.72800000e-10  3.30000000e+00  3.30000000e+00  4.87909436e-10 
 4.82800000e-10  3.30000000e+00  3.30000000e+00  4.87910066e-10 
 4.91400000e-10  3.30000000e+00  3.30000000e+00  4.87909912e-10 
 5.00000000e-10  3.30000000e+00  3.30000000e+00  4.87910997e-10 
 5.00079800e-10  3.30242963e+00  3.30245401e+00  4.90679524e-04 
 5.00239400e-10  3.31062750e+00  3.31079860e+00  2.70525307e-03 
 5.00558599e-10  3.33410784e+00  3.33498584e+00  1.06638197e-02 
 5.00869394e-10  3.36095162e+00  3.36281136e+00  2.03993643e-02 
 5.01254891e-10  3.39650053e+00  3.39962732e+00  3.28436907e-02 
 5.01757880e-10  3.44652951e+00  3.45116560e+00  4.86941836e-02 
 5.02182470e-10  3.49320015e+00  3.49899413e+00  6.20044285e-02 
 5.02649765e-10  3.54703509e+00  3.55396365e+00  7.60113027e-02 
 5.03121304e-10  3.60107755e+00  3.60893357e+00  8.84583960e-02 
 5.03673708e-10  3.66204523e+00  3.67064908e+00  1.00194895e-01 
 5.04305148e-10  3.72757539e+00  3.73661189e+00  1.09866345e-01 
 5.05011714e-10  3.79527384e+00  3.80437335e+00  1.16603215e-01 
 5.06009181e-10  3.88141622e+00  3.89012304e+00  1.20727139e-01 
 5.07228775e-10  3.97454371e+00  3.98239290e+00  1.20521595e-01 
 5.08626849e-10  4.07005185e+00  4.07681082e+00  1.17206880e-01 
 5.10000000e-10  4.15784299e+00  4.16374171e+00  1.13726728e-01 
 5.10150305e-10  4.15679821e+00  4.16238656e+00  1.10695099e-01 
 5.10450914e-10  4.14432586e+00  4.14875066e+00  1.00125281e-01 
 5.10988960e-10  4.10735316e+00  4.10888489e+00  7.47451050e-02 
 5.11568170e-10  4.06049003e+00  4.05907048e+00  4.71025185e-02 
 5.12117788e-10  4.01437486e+00  4.01076060e+00  2.40194274e-02 
 5.12763818e-10  3.96042789e+00  3.95491558e+00  1.67138384e-03 
 5.13408654e-10  3.90748266e+00  3.90057772e+00 -1.60872325e-02 
 5.14175688e-10  3.84582299e+00  3.83764744e+00 -3.26099262e-02 
 5.15026828e-10  3.77876420e+00  3.76944338e+00 -4.67081349e-02 
 5.16052999e-10  3.69883312e+00  3.68822065e+00 -5.98827845e-02 
 5.17289929e-10  3.59698672e+00  3.58267604e+00 -7.46040933e-02 
 5.17934028e-10  3.52595306e+00  3.50731217e+00 -8.72635732e-02 
 5.18747565e-10  3.43468827e+00  3.41461471e+00 -1.02313578e-01 
 5.19367765e-10  3.37051145e+00  3.34936472e+00 -1.10648045e-01 
 5.20157513e-10  3.29246678e+00  3.27031577e+00 -1.18248828e-01 
 5.21023912e-10  3.21004162e+00  3.18707922e+00 -1.24276924e-01 
 5.22353798e-10  3.08798647e+00  3.06406207e+00 -1.31139668e-01 
 5.24077505e-10  2.93853857e+00  2.91076631e+00 -1.37647899e-01 
 5.25239343e-10  2.84876509e+00  2.81039792e+00 -1.40562758e-01 
 5.26702457e-10  2.74598033e+00  2.68579727e+00 -1.43364388e-01 
 5.28800244e-10  2.60875244e+00  2.50946733e+00 -1.47114015e-01 
 5.30725046e-10  2.48816925e+00  2.34986532e+00 -1.50985036e-01 
 5.33060281e-10  2.34541518e+00  2.15898384e+00 -1.56512077e-01 
 5.35722362e-10  2.18601259e+00  1.94545627e+00 -1.63753873e-01 
 5.38486519e-10  2.02413707e+00  1.72941137e+00 -1.72109645e-01 
 5.41622444e-10  1.84559148e+00  1.49454450e+00 -1.82619611e-01 
 5.44164680e-10  1.70473214e+00  1.31989296e+00 -1.92790028e-01 
 5.47045912e-10  1.54946761e+00  1.14469947e+00 -2.06897383e-01 
 5.50095885e-10  1.39157326e+00  9.83830493e-01 -2.23458117e-01 
 5.52361078e-10  1.27950118e+00  8.79502462e-01 -2.35689209e-01 
 5.54654433e-10  1.17126659e+00  7.86065855e-01 -2.46998974e-01 
 5.57239161e-10  1.05627833e+00  6.94070416e-01 -2.57223619e-01 
 5.60236081e-10  9.32941468e-01  6.02722860e-01 -2.64013410e-01 
 5.63410606e-10  8.14444599e-01  5.20894584e-01 -2.63442853e-01 
 5.67120481e-10  6.91758637e-01  4.40623403e-01 -2.50576705e-01 
 5.71398794e-10  5.70270628e-01  3.63024739e-01 -2.16530161e-01 
 5.75600399e-10  4.68718911e-01  2.96180633e-01 -1.57782982e-01 
 5.78085902e-10  4.12117058e-01  2.63008526e-01 -1.08641563e-01 
 5.81359109e-10  3.43481113e-01  2.26953771e-01 -3.03107607e-02 
 5.83256569e-10  3.10778893e-01  2.09209067e-01  1.77211044e-02 
 5.85727096e-10  2.73366228e-01  1.89212170e-01  8.35296118e-02 
 5.89120921e-10  2.29395424e-01  1.66265117e-01  1.79816938e-01 
 5.95647670e-10  1.64155999e-01  1.32629472e-01  3.80554808e-01 
 5.99998791e-10  1.32033024e-01  1.16097018e-01  5.20922572e-01 
 6.03298909e-10  1.12287922e-01  1.05614863e-01  6.25792331e-01 
 6.07305834e-10  9.27779533e-02  9.53518219e-02  7.52849493e-01 
 6.10587800e-10  7.98319260e-02  8.87628422e-02  8.56622792e-01 
 6.15041429e-10  6.56292943e-02  8.18343355e-02  9.95329789e-01 
 6.19712370e-10  5.40646331e-02  7.66249610e-02  1.13695534e+00 
 6.26990864e-10  4.10788213e-02  7.18692197e-02  1.34772848e+00 
 6.35770445e-10  3.12340746e-02  7.03271180e-02  1.58279734e+00 
 6.45590361e-10  2.51564371e-02  7.19007955e-02  1.81574413e+00 
 6.51798658e-10  2.31178181e-02  7.34642433e-02  1.94467109e+00 
 6.54814206e-10  2.25010200e-02  7.41772707e-02  2.00232510e+00 
 6.57608959e-10  2.20863264e-02  7.47704071e-02  2.05314406e+00 
 6.60593394e-10  2.17709907e-02  7.53341957e-02  2.10494343e+00 
 6.64168600e-10  2.14270818e-02  7.56014177e-02  2.16274323e+00 
 6.67103048e-10  2.10427064e-02  7.50813278e-02  2.20536253e+00 
 6.70174849e-10  2.05237304e-02  7.37081869e-02  2.24498265e+00 
 6.73602151e-10  1.98863531e-02  7.14832791e-02  2.28426352e+00 
 6.76778161e-10  1.93687410e-02  6.93274288e-02  2.31809212e+00 
 6.79676362e-10  1.92118499e-02  6.82654607e-02  2.35051099e+00 
 6.82896939e-10  1.96919714e-02  6.94068919e-02  2.39336429e+00 
 6.86246339e-10  2.07300674e-02  7.29148837e-02  2.44531969e+00 
 6.89971389e-10  2.19912541e-02  7.76559198e-02  2.50623763e+00 
 6.93977009e-10  2.31404550e-02  8.19437201e-02  2.57000887e+00 
 6.98281296e-10  2.40794371e-02  8.49020784e-02  2.63414242e+00 
 7.04210360e-10  2.49843270e-02  8.66258251e-02  2.71548080e+00 
 7.11747056e-10  2.56988176e-02  8.65256358e-02  2.81067846e+00 
 7.16797751e-10  2.56117367e-02  8.43922835e-02  2.86657755e+00 
 7.21012884e-10  2.50767623e-02  8.10291396e-02  2.90682298e+00 
 7.26143453e-10  2.40929475e-02  7.58868852e-02  2.94982039e+00 
 7.32983809e-10  2.24374366e-02  6.83925711e-02  2.99920851e+00 
 7.42983809e-10  1.96883352e-02  5.75413761e-02  3.05865570e+00 
 7.52983809e-10  1.68714434e-02  4.76201785e-02  3.10606842e+00 
 7.62983809e-10  1.42084780e-02  3.89935937e-02  3.14400687e+00 
 7.72983809e-10  1.18178749e-02  3.17208596e-02  3.17444395e+00 
 7.82983809e-10  9.74347148e-03  2.57028781e-02  3.19890371e+00 
 7.92983809e-10  7.98368002e-03  2.07783573e-02  3.21857975e+00 
 8.02983809e-10  6.51326057e-03  1.67749769e-02  3.23441720e+00 
 8.12983809e-10  5.29719258e-03  1.35327545e-02  3.24716956e+00 
 8.22983809e-10  4.29854286e-03  1.09125863e-02  3.25744004e+00 
 8.32983809e-10  3.48245424e-03  8.79762103e-03  3.26571272e+00 
 8.42983809e-10  2.81786694e-03  7.09154219e-03  3.27237673e+00 
 8.52983809e-10  2.27801139e-03  5.71578302e-03  3.27774513e+00 
 8.62983809e-10  1.84028570e-03  4.60661414e-03  3.28206996e+00 
 8.72983809e-10  1.48585883e-03  3.71249193e-03  3.28555416e+00 
 8.82983809e-10  1.19918050e-03  2.99178949e-03  3.28836118e+00 
 8.92983809e-10  9.67488365e-04  2.41091321e-03  3.29062268e+00 
 9.02983809e-10  7.80353904e-04  1.94276283e-03  3.29244469e+00 
 9.12983809e-10  6.29282853e-04  1.56548137e-03  3.29391266e+00 
 9.22983809e-10  5.07372936e-04  1.26144362e-03  3.29509537e+00 
 9.32983809e-10  4.09025659e-04  1.01643875e-03  3.29604828e+00 
 9.42983809e-10  3.29706385e-04  8.19010266e-04  3.29681604e+00 
 9.52983809e-10  2.65746170e-04  6.59923081e-04  3.29743463e+00 
 9.62983809e-10  2.14179025e-04  5.31733476e-04  3.29793304e+00 
 9.72983809e-10  1.72609048e-04  4.28446388e-04  3.29833462e+00 
 9.82983809e-10  1.39101192e-04  3.45219759e-04  3.29865819e+00 
 9.92983809e-10  1.12093876e-04  2.78157221e-04  3.29891888e+00 
 1.00298381e-09  9.03273298e-05  2.24120269e-04  3.29912893e+00 
 1.01298381e-09  7.27856245e-05  1.80579845e-04  3.29929816e+00 
 1.02298381e-09  5.86494464e-05  1.45497651e-04  3.29943451e+00 
 1.03298381e-09  4.72581006e-05  1.17230920e-04  3.29954438e+00 
 1.04298381e-09  3.80788913e-05  9.44557582e-05  3.29963289e+00 
