 time            v(vin1)         v(vin2)         v(vout)        
 0.00000000e+00  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 1.00000000e-13  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 2.00000000e-13  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 4.00000000e-13  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 8.00000000e-13  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 1.60000000e-12  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 3.20000000e-12  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 6.40000000e-12  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 1.28000000e-11  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 2.28000000e-11  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 3.28000000e-11  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 4.28000000e-11  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 5.28000000e-11  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 6.28000000e-11  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 7.28000000e-11  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 8.28000000e-11  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 9.28000000e-11  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 1.02800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 1.12800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 1.22800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 1.32800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 1.42800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 1.52800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 1.62800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 1.72800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 1.82800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 1.92800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 2.02800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 2.12800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 2.22800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 2.32800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 2.42800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 2.52800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 2.62800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 2.72800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 2.82800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 2.92800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 3.02800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 3.12800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 3.22800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 3.32800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 3.42800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 3.52800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 3.62800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 3.72800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 3.82800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 3.92800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 4.02800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 4.12800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 4.22800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 4.32800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 4.42800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 4.52800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 4.62800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 4.72800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 4.82800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 4.91400000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 5.00000000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 5.00079790e-10  3.30242907e+00  3.30245339e+00  3.30004494e+00 
 5.00239370e-10  3.31062462e+00  3.31079502e+00  3.30032171e+00 
 5.00558530e-10  3.33408978e+00  3.33495912e+00  3.30175951e+00 
 5.00869361e-10  3.36090638e+00  3.36273779e+00  3.30396171e+00 
 5.01254831e-10  3.39639077e+00  3.39944986e+00  3.30718888e+00 
 5.01757857e-10  3.44631861e+00  3.45082494e+00  3.31164737e+00 
 5.02182344e-10  3.49288335e+00  3.49849529e+00  3.31549931e+00 
 5.02649693e-10  3.54662880e+00  3.55332669e+00  3.31965128e+00 
 5.03121157e-10  3.60058502e+00  3.60817456e+00  3.32346063e+00 
 5.03673474e-10  3.66148701e+00  3.66980396e+00  3.32712700e+00 
 5.04304866e-10  3.72700102e+00  3.73575736e+00  3.33010081e+00 
 5.05011262e-10  3.79473544e+00  3.80359566e+00  3.33194431e+00 
 5.06008575e-10  3.88102351e+00  3.88958666e+00  3.33238823e+00 
 5.07228950e-10  3.97446347e+00  3.98230417e+00  3.33064167e+00 
 5.08628782e-10  4.07036317e+00  4.07724706e+00  3.32714094e+00 
 5.10000000e-10  4.15822057e+00  4.16432917e+00  3.32343981e+00 
 5.10150514e-10  4.15718179e+00  4.16298509e+00  3.32268491e+00 
 5.10451543e-10  4.14471843e+00  4.14937491e+00  3.32020029e+00 
 5.10989260e-10  4.10788781e+00  4.10972517e+00  3.31335727e+00 
 5.11569095e-10  4.06117229e+00  4.06016554e+00  3.30476633e+00 
 5.12119119e-10  4.01521953e+00  4.01211657e+00  3.29687741e+00 
 5.12765710e-10  3.96141153e+00  3.95648895e+00  3.28879938e+00 
 5.13410789e-10  3.90855687e+00  3.90227368e+00  3.28226190e+00 
 5.14177528e-10  3.84695452e+00  3.83938973e+00  3.27637876e+00 
 5.15027393e-10  3.77993614e+00  3.77117436e+00  3.27186521e+00 
 5.16051056e-10  3.70005628e+00  3.68992168e+00  3.26848472e+00 
 5.17282674e-10  3.59874429e+00  3.58504218e+00  3.26590211e+00 
 5.17920392e-10  3.52881360e+00  3.51072018e+00  3.26393645e+00 
 5.18734185e-10  3.43707875e+00  3.41742011e+00  3.26127277e+00 
 5.19323771e-10  3.37580378e+00  3.35504762e+00  3.25990255e+00 
 5.20124271e-10  3.29632598e+00  3.27445071e+00  3.25902374e+00 
 5.20955942e-10  3.21684844e+00  3.19408803e+00  3.25902525e+00 
 5.22295485e-10  3.09334370e+00  3.06945826e+00  3.26016836e+00 
 5.23955911e-10  2.94832236e+00  2.92102428e+00  3.26257156e+00 
 5.25071916e-10  2.86085547e+00  2.82417746e+00  3.26458552e+00 
 5.26564714e-10  2.75491823e+00  2.69663990e+00  3.26743044e+00 
 5.28403022e-10  2.63373676e+00  2.54171074e+00  3.27073421e+00 
 5.30495067e-10  2.50197449e+00  2.36788405e+00  3.27389719e+00 
 5.32607295e-10  2.37249156e+00  2.19494516e+00  3.27636683e+00 
 5.35450733e-10  2.20183550e+00  1.96643528e+00  3.27871803e+00 
 5.38027935e-10  2.05051843e+00  1.76440467e+00  3.28010940e+00 
 5.41295232e-10  1.86386755e+00  1.51816041e+00  3.28113715e+00 
 5.43960035e-10  1.71592619e+00  1.33329561e+00  3.28130793e+00 
 5.46856101e-10  1.55958892e+00  1.15573668e+00  3.28068274e+00 
 5.49777492e-10  1.40780635e+00  9.99801657e-01  3.27958834e+00 
 5.52177569e-10  1.28853068e+00  8.87813006e-01  3.27875654e+00 
 5.54451698e-10  1.18073945e+00  7.94140591e-01  3.27833635e+00 
 5.56995213e-10  1.06688986e+00  7.02381147e-01  3.27859467e+00 
 5.60004119e-10  9.42095872e-01  6.09269828e-01  3.28023636e+00 
 5.63126525e-10  8.24410477e-01  5.27473360e-01  3.28372544e+00 
 5.66820615e-10  7.00770428e-01  4.46183748e-01  3.29032069e+00 
 5.71008227e-10  5.80089817e-01  3.69152623e-01  3.30101809e+00 
 5.75252111e-10  4.76194128e-01  3.01000685e-01  3.31581313e+00 
 5.77889536e-10  4.16606322e-01  2.64960656e-01  3.32736356e+00 
 5.80962494e-10  3.50964374e-01  2.30382296e-01  3.34269824e+00 
 5.82950794e-10  3.15711701e-01  2.11358136e-01  3.35233113e+00 
 5.85335142e-10  2.78852982e-01  1.91656841e-01  3.36327394e+00 
 5.88457397e-10  2.37283820e-01  1.69981354e-01  3.37681720e+00 
 5.94701906e-10  1.72219811e-01  1.36527533e-01  3.40176939e+00 
 6.00304425e-10  1.29921902e-01  1.14901742e-01  3.42173142e+00 
 6.03581853e-10  1.10613637e-01  1.04693911e-01  3.43195570e+00 
 6.07753727e-10  9.07407284e-02  9.43315815e-02  3.44184225e+00 
 6.10695232e-10  7.93971431e-02  8.86696562e-02  3.44591374e+00 
 6.15506883e-10  6.44009198e-02  8.15979848e-02  3.44637023e+00 
 6.19899566e-10  5.38337377e-02  7.71188419e-02  3.43975112e+00 
 6.27517341e-10  4.06519036e-02  7.28559790e-02  3.41267335e+00 
 6.35674090e-10  3.18155915e-02  7.21980310e-02  3.36287074e+00 
 6.45534004e-10  2.59424905e-02  7.48692629e-02  3.27407525e+00 
 6.55534004e-10  2.33101816e-02  7.88732374e-02  3.14249690e+00 
 6.62287490e-10  2.28865870e-02  8.17323951e-02  3.00936245e+00 
 6.65866855e-10  2.31320085e-02  8.36775456e-02  2.91405496e+00 
 6.68369310e-10  2.34703028e-02  8.53040156e-02  2.83726123e+00 
 6.70502258e-10  2.38241454e-02  8.68036368e-02  2.76961403e+00 
 6.73717727e-10  2.43510120e-02  8.88897101e-02  2.66706309e+00 
 6.77011244e-10  2.47828919e-02  9.03832530e-02  2.55971064e+00 
 6.81162520e-10  2.51290552e-02  9.10697991e-02  2.41938612e+00 
 6.84967251e-10  2.52593934e-02  9.05834628e-02  2.28591125e+00 
 6.90171472e-10  2.51891897e-02  8.86025372e-02  2.09750641e+00 
 6.96042587e-10  2.48371155e-02  8.51967146e-02  1.87995719e+00 
 7.03959472e-10  2.40796780e-02  7.98149090e-02  1.58560515e+00 
 7.08515980e-10  2.34863373e-02  7.63946841e-02  1.42043456e+00 
 7.10849364e-10  2.30908265e-02  7.44173327e-02  1.33849872e+00 
 7.12663426e-10  2.27416781e-02  7.27632565e-02  1.27652597e+00 
 7.14360018e-10  2.23921418e-02  7.11511375e-02  1.22013718e+00 
 7.16461885e-10  2.19451192e-02  6.91297886e-02  1.15310420e+00 
 7.18746469e-10  2.14686295e-02  6.70066731e-02  1.08547199e+00 
 7.21813702e-10  2.08566080e-02  6.43570941e-02  1.00449604e+00 
 7.24823111e-10  2.02614758e-02  6.19052363e-02  9.34606415e-01 
 7.27157517e-10  1.97906371e-02  6.00447570e-02  8.85738497e-01 
 7.29434184e-10  1.93116493e-02  5.82081702e-02  8.41261093e-01 
 7.32081389e-10  1.87026722e-02  5.59386390e-02  7.90873665e-01 
 7.35018744e-10  1.79348676e-02  5.31411622e-02  7.33229009e-01 
 7.38719415e-10  1.68561866e-02  4.92648126e-02  6.55808838e-01 
 7.42050467e-10  1.58414710e-02  4.56685217e-02  5.82699543e-01 
