 time            v(vin1)         v(vin2)         v(vout)        
 0.00000000e+00  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 1.00000000e-13  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 2.00000000e-13  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 4.00000000e-13  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 8.00000000e-13  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 1.60000000e-12  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 3.20000000e-12  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 6.40000000e-12  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 1.28000000e-11  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 2.28000000e-11  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 3.28000000e-11  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 4.28000000e-11  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 5.28000000e-11  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 6.28000000e-11  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 7.28000000e-11  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 8.28000000e-11  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 9.28000000e-11  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 1.02800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 1.12800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 1.22800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 1.32800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 1.42800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 1.52800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 1.62800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 1.72800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 1.82800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 1.92800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 2.02800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 2.12800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 2.22800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 2.32800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 2.42800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 2.52800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 2.62800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 2.72800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 2.82800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 2.92800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 3.02800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 3.12800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 3.22800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 3.32800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 3.42800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 3.52800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 3.62800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 3.72800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 3.82800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 3.92800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 4.02800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 4.12800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 4.22800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 4.32800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 4.42800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 4.52800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 4.62800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 4.72800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 4.82800000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 4.91400000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 5.00000000e-10  3.30000000e+00  3.30000000e+00  3.30000000e+00 
 5.00079476e-10  3.30000504e+00  3.30238171e+00  3.30003418e+00 
 5.00238429e-10  3.30004288e+00  3.31033673e+00  3.30024122e+00 
 5.00556335e-10  3.30028466e+00  3.33274968e+00  3.30130079e+00 
 5.00868769e-10  3.30068638e+00  3.35838413e+00  3.30293148e+00 
 5.01252045e-10  3.30125672e+00  3.39199270e+00  3.30529083e+00 
 5.01753806e-10  3.30196722e+00  3.43972699e+00  3.30854701e+00 
 5.02171037e-10  3.30249541e+00  3.48383592e+00  3.31131137e+00 
 5.02639348e-10  3.30300686e+00  3.53594389e+00  3.31435753e+00 
 5.03109978e-10  3.30340538e+00  3.58825836e+00  3.31717264e+00 
 5.03659817e-10  3.30369254e+00  3.64741014e+00  3.31994905e+00 
 5.04290742e-10  3.30379149e+00  3.71158879e+00  3.32235785e+00 
 5.04991362e-10  3.30367137e+00  3.77776022e+00  3.32411325e+00 
 5.05985241e-10  3.30325239e+00  3.86285339e+00  3.32529309e+00 
 5.07209384e-10  3.30258655e+00  3.95596880e+00  3.32536692e+00 
 5.08614699e-10  3.30186760e+00  4.05190011e+00  3.32454453e+00 
 5.10000000e-10  3.30133788e+00  4.14037830e+00  3.32352747e+00 
 5.10154266e-10  3.30123983e+00  4.13950962e+00  3.32313722e+00 
 5.10462797e-10  3.30086461e+00  4.12787777e+00  3.32160969e+00 
 5.10995679e-10  3.29977066e+00  4.09460630e+00  3.31722625e+00 
 5.11536048e-10  3.29852234e+00  4.05438735e+00  3.31191487e+00 
 5.12119931e-10  3.29738487e+00  4.00861744e+00  3.30633430e+00 
 5.12730106e-10  3.29655713e+00  3.96028502e+00  3.30122410e+00 
 5.13386006e-10  3.29604211e+00  3.90874890e+00  3.29669827e+00 
 5.14113512e-10  3.29580608e+00  3.85247845e+00  3.29274180e+00 
 5.14962267e-10  3.29580950e+00  3.78793365e+00  3.28923618e+00 
 5.15940486e-10  3.29600230e+00  3.71437804e+00  3.28623071e+00 
 5.17145307e-10  3.29629122e+00  3.62100970e+00  3.28330193e+00 
 5.17788298e-10  3.29631675e+00  3.55921260e+00  3.28143456e+00 
 5.18772566e-10  3.29615388e+00  3.45384003e+00  3.27795596e+00 
 5.19360452e-10  3.29610723e+00  3.39604671e+00  3.27614857e+00 
 5.20156628e-10  3.29620788e+00  3.32073460e+00  3.27434355e+00 
 5.20975232e-10  3.29643284e+00  3.24584526e+00  3.27307851e+00 
 5.22339571e-10  3.29686623e+00  3.12498408e+00  3.27171476e+00 
 5.24102891e-10  3.29736929e+00  2.97505396e+00  3.27065936e+00 
 5.25215300e-10  3.29762394e+00  2.88770170e+00  3.27022327e+00 
 5.26577881e-10  3.29780678e+00  2.79123207e+00  3.26954913e+00 
 5.28110310e-10  3.29785794e+00  2.69144596e+00  3.26840849e+00 
 5.30000032e-10  3.29788521e+00  2.57480307e+00  3.26687633e+00 
 5.32252041e-10  3.29803934e+00  2.44040629e+00  3.26555264e+00 
 5.34943077e-10  3.29844521e+00  2.28337512e+00  3.26531610e+00 
 5.38548949e-10  3.29929147e+00  2.07725038e+00  3.26784513e+00 
 5.43177863e-10  3.30070396e+00  1.81999357e+00  3.27608604e+00 
 5.49178633e-10  3.30279234e+00  1.50251710e+00  3.29456758e+00 
 5.54596849e-10  3.30475160e+00  1.23689951e+00  3.31798974e+00 
 5.59736461e-10  3.30661899e+00  1.00920724e+00  3.34562233e+00 
 5.65631135e-10  3.30897989e+00  7.81910059e-01  3.38506546e+00 
 5.68149783e-10  3.31035646e+00  6.91135573e-01  3.40631952e+00 
 5.71034577e-10  3.31190002e+00  5.92629992e-01  3.43268373e+00 
 5.74168475e-10  3.31335888e+00  4.97444705e-01  3.46070008e+00 
 5.76201632e-10  3.31430030e+00  4.45043324e-01  3.47773574e+00 
 5.78747109e-10  3.31502581e+00  3.88267040e-01  3.49814364e+00 
 5.81705624e-10  3.31446141e+00  3.32712850e-01  3.52093902e+00 
 5.85248377e-10  3.31133297e+00  2.78843268e-01  3.54675694e+00 
 5.88677848e-10  3.30589735e+00  2.37701505e-01  3.56994361e+00 
 5.92872858e-10  3.29675894e+00  1.99019645e-01  3.59569257e+00 
 5.97441059e-10  3.28430205e+00  1.68159803e-01  3.62063448e+00 
 5.99309383e-10  3.27145150e+00  1.58686595e-01  3.63201690e+00 
 6.02237490e-10  3.25105419e+00  1.46476337e-01  3.64754129e+00 
 6.04212598e-10  3.24058537e+00  1.39626262e-01  3.65445292e+00 
 6.06779329e-10  3.23043815e+00  1.31991172e-01  3.65857150e+00 
 6.09233044e-10  3.22348183e+00  1.25799287e-01  3.65765002e+00 
 6.12873126e-10  3.21686073e+00  1.18166896e-01  3.64880107e+00 
 6.17096104e-10  3.21361602e+00  1.11035441e-01  3.62912971e+00 
 6.20915062e-10  3.21445157e+00  1.05666279e-01  3.60343740e+00 
 6.24510356e-10  3.21876080e+00  1.01138402e-01  3.57223776e+00 
 6.28834825e-10  3.22697148e+00  9.59464875e-02  3.52597641e+00 
 6.33318049e-10  3.23504265e+00  9.05621983e-02  3.46985572e+00 
 6.37057592e-10  3.24047802e+00  8.59127103e-02  3.41710611e+00 
 6.39412178e-10  3.24335008e+00  8.29697900e-02  3.38073345e+00 
 6.41130067e-10  3.24520171e+00  8.09884346e-02  3.35206449e+00 
 6.42423599e-10  3.24641673e+00  7.98502726e-02  3.32829510e+00 
 6.43597331e-10  3.24726459e+00  7.95094321e-02  3.30323801e+00 
 6.45192059e-10  3.24809936e+00  7.99575135e-02  3.26524385e+00 
 6.46274265e-10  3.24848064e+00  8.01423737e-02  3.23917318e+00 
 6.47900996e-10  3.24858516e+00  7.96052917e-02  3.19955465e+00 
 6.49619256e-10  3.24846372e+00  7.81078222e-02  3.15721428e+00 
 6.53028284e-10  3.24872511e+00  7.34455537e-02  3.07144839e+00 
 6.57439659e-10  3.25011217e+00  6.57962101e-02  2.95702511e+00 
 6.62136848e-10  3.25242176e+00  5.72145677e-02  2.83411440e+00 
 6.65357184e-10  3.25485750e+00  5.16112063e-02  2.75561160e+00 
 6.69496243e-10  3.25828261e+00  4.46284173e-02  2.66256077e+00 
 6.73925451e-10  3.26145692e+00  3.73843770e-02  2.56849124e+00 
 6.78969792e-10  3.26437454e+00  2.98104316e-02  2.46552738e+00 
 6.84056768e-10  3.26671482e+00  2.33326800e-02  2.36485470e+00 
 6.91253577e-10  3.26912910e+00  1.63490088e-02  2.22632095e+00 
 6.97973768e-10  3.27052637e+00  1.18020517e-02  2.10020156e+00 
 7.07048390e-10  3.27143593e+00  7.73951169e-03  1.93446104e+00 
 7.17048390e-10  3.27157229e+00  5.01362516e-03  1.75858093e+00 
 7.27048390e-10  3.27125470e+00  3.45000104e-03  1.59227249e+00 
 7.30974302e-10  3.27109085e+00  3.09610060e-03  1.53021021e+00 
 7.34060664e-10  3.27099924e+00  2.90025300e-03  1.48304825e+00 
 7.37101513e-10  3.27098252e+00  2.77114903e-03  1.43827955e+00 
 7.41403788e-10  3.27114912e+00  2.69110502e-03  1.37838608e+00 
 7.45293156e-10  3.27152596e+00  2.70961077e-03  1.32808679e+00 
