 time            v(vr)           v(VDD)          i(V1)          
 0.00000000e+00  3.30000000e+00  3.30000000e+00  3.83724339e-11 
 1.78571000e-11  3.30000000e+00  3.30000000e+00  3.83726626e-11 
 3.57142000e-11  3.30000000e+00  3.30000000e+00  3.83719173e-11 
 7.14284000e-11  3.30000000e+00  3.30000000e+00  3.83727484e-11 
 1.42856800e-10  3.30000000e+00  3.30000000e+00  3.83725623e-11 
 2.85713600e-10  3.30000000e+00  3.30000000e+00  3.83723733e-11 
 5.71427200e-10  3.30000000e+00  3.30000000e+00  3.83723962e-11 
 1.14285440e-09  3.30000000e+00  3.30000000e+00  3.83724929e-11 
 2.28570880e-09  3.30000000e+00  3.30000000e+00  3.83723937e-11 
 4.07141880e-09  3.30000000e+00  3.30000000e+00  3.83724479e-11 
 5.85712880e-09  3.30000000e+00  3.30000000e+00  3.83724308e-11 
 7.64283880e-09  3.30000000e+00  3.30000000e+00  3.83724311e-11 
 9.42854880e-09  3.30000000e+00  3.30000000e+00  3.83724417e-11 
 1.12142588e-08  3.30000000e+00  3.30000000e+00  3.83724259e-11 
 1.29999688e-08  3.30000000e+00  3.30000000e+00  3.83724389e-11 
 1.47856788e-08  3.30000000e+00  3.30000000e+00  3.83724277e-11 
 1.65713888e-08  3.30000000e+00  3.30000000e+00  3.83724423e-11 
 1.83570988e-08  3.30000000e+00  3.30000000e+00  3.83724233e-11 
 2.01428088e-08  3.30000000e+00  3.30000000e+00  3.83724438e-11 
 2.19285188e-08  3.30000000e+00  3.30000000e+00  3.83724287e-11 
 2.37142288e-08  3.30000000e+00  3.30000000e+00  3.83724361e-11 
 2.54999388e-08  3.30000000e+00  3.30000000e+00  3.83724261e-11 
 2.72856488e-08  3.30000000e+00  3.30000000e+00  3.83724568e-11 
 2.90713588e-08  3.30000000e+00  3.30000000e+00  3.83723911e-11 
 3.08570688e-08  3.30000000e+00  3.30000000e+00  3.83724803e-11 
 3.15818021e-08  3.30000000e+00  3.30000000e+00 -2.31803655e-04 
 3.18787168e-08  3.30000000e+00  3.30000000e+00  5.53107835e-05 
 3.19773729e-08  3.30000000e+00  3.30000000e+00  3.46610444e-06 
 3.20922482e-08  3.30000000e+00  3.30000000e+00  1.35406671e-06 
 3.22287147e-08  3.30000000e+00  3.30000000e+00  8.89376310e-07 
 3.23117902e-08  3.30000000e+00  3.30000000e+00  4.57176549e-07 
 3.23691108e-08  3.30000000e+00  3.30000000e+00 -5.03743823e-07 
 3.24286663e-08  3.30000000e+00  3.30000000e+00 -9.75035871e-07 
 3.24728225e-08  3.30000000e+00  3.30000000e+00  4.42422765e-07 
 3.25264550e-08  3.30000000e+00  3.30000000e+00  3.18770322e-06 
 3.25864252e-08  3.30000000e+00  3.30000000e+00  6.82923918e-06 
 3.26259373e-08  3.30000000e+00  3.30000000e+00  9.50534251e-06 
 3.26548549e-08  3.30000000e+00  3.30000000e+00  1.29350013e-05 
 3.26854391e-08  3.30000000e+00  3.30000000e+00  1.82069901e-05 
 3.27158203e-08  3.30000000e+00  3.30000000e+00  2.50288537e-05 
 3.27508224e-08  3.30000000e+00  3.30000000e+00  3.17109454e-05 
 3.27726653e-08  3.30000000e+00  3.30000000e+00  2.67674258e-05 
 3.27957012e-08  3.30000000e+00  3.30000000e+00  1.26627340e-05 
 3.28219691e-08  3.30000000e+00  3.30000000e+00 -2.06228883e-06 
 3.28500741e-08  3.30000000e+00  3.30000000e+00 -1.08179949e-05 
 3.28754625e-08  3.30000000e+00  3.30000000e+00 -1.50173775e-05 
 3.28990493e-08  3.30000000e+00  3.30000000e+00 -1.71735551e-05 
 3.29263043e-08  3.30000000e+00  3.30000000e+00 -1.66682387e-05 
 3.29507299e-08  3.30000000e+00  3.30000000e+00 -1.27951379e-05 
 3.29666010e-08  3.30000000e+00  3.30000000e+00 -8.62854464e-06 
 3.29791121e-08  3.30000000e+00  3.30000000e+00 -1.29152487e-05 
 3.29930806e-08  3.30000000e+00  3.30000000e+00 -1.27448178e-05 
 3.30158113e-08  3.30000000e+00  3.30000000e+00 -1.31273370e-05 
 3.30574349e-08  3.30000000e+00  3.30000000e+00 -1.02764885e-05 
 3.31277412e-08  3.30000000e+00  3.30000000e+00 -5.63838903e-06 
 3.31843154e-08  3.30000000e+00  3.30000000e+00 -3.13444546e-06 
 3.32404875e-08  3.30000000e+00  3.30000000e+00 -1.68737703e-06 
 3.33021490e-08  3.30000000e+00  3.30000000e+00 -9.46435404e-07 
 3.33727698e-08  3.30000000e+00  3.30000000e+00 -5.99674055e-07 
 3.34682617e-08  3.30000000e+00  3.30000000e+00 -3.76706421e-07 
 3.35987171e-08  3.30000000e+00  3.30000000e+00 -2.02212235e-07 
 3.37791780e-08  3.30000000e+00  3.30000000e+00 -7.26520957e-08 
 3.40182118e-08  3.30000000e+00  3.30000000e+00 -5.41751350e-09 
 3.43493459e-08  3.30000000e+00  3.30000000e+00  1.41168107e-08 
 3.45295753e-08  3.30000000e+00  3.30000000e+00  1.02913508e-08 
 3.46641918e-08  3.30000000e+00  3.30000000e+00  6.54090730e-09 
 3.48602145e-08  3.30000000e+00  3.30000000e+00  2.93815027e-09 
 3.50219439e-08  3.30000000e+00  3.30000000e+00  1.39549708e-09 
 3.51957136e-08  3.30000000e+00  3.30000000e+00  5.93743250e-10 
 3.55432530e-08  3.30000000e+00  3.30000000e+00  9.56392464e-12 
 3.60361714e-08  3.30000000e+00  3.30000000e+00 -1.04087833e-10 
 3.67466679e-08  3.30000000e+00  3.30000000e+00 -3.52706974e-11 
