 time            i(i0)           i(v1)           vr1             vr2            
 0.00000000e+00  1.00000000e-06  1.58299849e-12  8.25000000e-01  2.47500000e+00 
 3.30000000e-10  1.00000000e-06  5.41071616e-12  8.25000000e-01  2.47500000e+00 
 6.60000000e-10  1.00000000e-06 -1.82201434e-12  8.25000000e-01  2.47500000e+00 
 1.32000000e-09  1.00000000e-06  1.91979758e-12  8.25000000e-01  2.47500000e+00 
 2.35268776e-09  1.00000000e-06  2.77039976e-12  8.25000000e-01  2.47500000e+00 
 3.43338340e-09  1.00000000e-06  2.17231370e-12  8.25000000e-01  2.47500000e+00 
 5.41487510e-09  1.00000000e-06  1.23436872e-12  8.25000000e-01  2.47500000e+00 
 6.96351069e-09  1.00000000e-06  1.61579043e-12  8.25000000e-01  2.47500000e+00 
 8.76505734e-09  1.00000000e-06  1.33627593e-12  8.25000000e-01  2.47500000e+00 
 1.08121302e-08  1.00000000e-06  1.76769171e-12  8.25000000e-01  2.47500000e+00 
 1.32627321e-08  1.00000000e-06  1.65377117e-12  8.25000000e-01  2.47500000e+00 
 1.63759100e-08  1.00000000e-06  1.52910558e-12  8.25000000e-01  2.47500000e+00 
 2.01523355e-08  1.00000000e-06  1.38577893e-12  8.25000000e-01  2.47500000e+00 
 2.36235115e-08  1.00000000e-06  1.56115621e-12  8.25000000e-01  2.47500000e+00 
 2.74345866e-08  1.00000000e-06  1.60364839e-12  8.25000000e-01  2.47500000e+00 
 3.21025049e-08  1.00000000e-06  1.66442885e-12  8.25000000e-01  2.47500000e+00 
 3.93676293e-08  1.00000000e-06  6.05940524e-13  8.25000000e-01  2.47500000e+00 
 5.10496438e-08  1.00000000e-06  1.19023455e-12  8.25000000e-01  2.47500000e+00 
 7.24687753e-08  1.00000000e-06  1.18966972e-12  8.25000000e-01  2.47500000e+00 
 1.04887836e-07  1.00000000e-06  4.23607795e-12  8.25000000e-01  2.47500000e+00 
 1.16800019e-07  1.00000000e-06  1.54939550e-09  8.25000000e-01  2.47500000e+00 
 1.23683560e-07  1.00000000e-06 -9.32892464e-06  8.25000000e-01  2.47500000e+00 
 1.26111435e-07  1.00000000e-06  1.95905613e-06  8.25000000e-01  2.47500000e+00 
 1.27047314e-07  1.00000000e-06 -6.24465785e-08  8.25000000e-01  2.47500000e+00 
 1.28432603e-07  1.00000000e-06  9.77711426e-10  8.25000000e-01  2.47500000e+00 
 1.29258130e-07  1.00000000e-06 -2.13443741e-10  8.25000000e-01  2.47500000e+00 
 1.29961891e-07  1.00000000e-06 -2.78903574e-09  8.25000000e-01  2.47500000e+00 
 1.30603811e-07  1.00000000e-06 -1.02014572e-08  8.25000000e-01  2.47500000e+00 
 1.30886837e-07  1.00000000e-06 -7.11059997e-08  8.25000000e-01  2.47500000e+00 
 1.31066134e-07  1.00000000e-06 -1.21585340e-07  8.25000000e-01  2.47500000e+00 
 1.31159070e-07  1.00000000e-06 -2.15437159e-08  8.25000000e-01  2.47500000e+00 
 1.31218916e-07  1.00000000e-06  1.57219252e-06  8.25000000e-01  2.47500000e+00 
 1.31253357e-07  1.00000000e-06  6.84554119e-06  8.25000000e-01  2.47500000e+00 
 1.31289744e-07  1.00000000e-06  1.15193230e-05  8.25000000e-01  2.47500000e+00 
 1.31325287e-07  1.00000000e-06  1.24484392e-05  8.25000000e-01  2.47500000e+00 
 1.31359107e-07  1.00000000e-06  6.50083582e-06  8.25000000e-01  2.47500000e+00 
 1.31396078e-07  1.00000000e-06 -7.72145502e-08  8.25000000e-01  2.47500000e+00 
 1.31433969e-07  1.00000000e-06 -2.73563161e-06  8.25000000e-01  2.47500000e+00 
 1.31482924e-07  1.00000000e-06 -2.49641031e-06  8.25000000e-01  2.47500000e+00 
 1.31538097e-07  1.00000000e-06 -1.35798738e-06  8.25000000e-01  2.47500000e+00 
 1.31601911e-07  1.00000000e-06 -1.85140114e-06  8.25000000e-01  2.47500000e+00 
 1.31677215e-07  1.00000000e-06 -3.14110230e-06  8.25000000e-01  2.47500000e+00 
 1.31752763e-07  1.00000000e-06 -2.52348840e-06  8.25000000e-01  2.47500000e+00 
 1.31831837e-07  1.00000000e-06 -1.71322418e-06  8.25000000e-01  2.47500000e+00 
 1.31913782e-07  1.00000000e-06 -1.23206117e-06  8.25000000e-01  2.47500000e+00 
 1.31957422e-07  1.00000000e-06 -1.26644648e-06  8.25000000e-01  2.47500000e+00 
 1.32034782e-07  1.00000000e-06 -9.29104643e-07  8.25000000e-01  2.47500000e+00 
 1.32107214e-07  1.00000000e-06 -6.21351199e-07  8.25000000e-01  2.47500000e+00 
 1.32252079e-07  1.00000000e-06 -2.81784679e-07  8.25000000e-01  2.47500000e+00 
 1.32420891e-07  1.00000000e-06 -1.00854335e-07  8.25000000e-01  2.47500000e+00 
 1.32658805e-07  1.00000000e-06 -7.28140575e-09  8.25000000e-01  2.47500000e+00 
 1.32935688e-07  1.00000000e-06  1.45929718e-08  8.25000000e-01  2.47500000e+00 
 1.33354001e-07  1.00000000e-06  1.22191563e-08  8.25000000e-01  2.47500000e+00 
 1.33909092e-07  1.00000000e-06  4.83372289e-09  8.25000000e-01  2.47500000e+00 
 1.34818895e-07  1.00000000e-06  1.93225275e-10  8.25000000e-01  2.47500000e+00 
 1.36483825e-07  1.00000000e-06 -5.85522242e-10  8.25000000e-01  2.47500000e+00 
 1.38397165e-07  1.00000000e-06 -1.20511550e-10  8.25000000e-01  2.47500000e+00 
 1.40507491e-07  1.00000000e-06 -4.49401329e-12  8.25000000e-01  2.47500000e+00 
 1.44728144e-07  1.00000000e-06  1.27740740e-11  8.25000000e-01  2.47500000e+00 
 1.49914855e-07  1.00000000e-06  3.66886141e-12  8.25000000e-01  2.47500000e+00 
 1.59965383e-07  1.00000000e-06  1.94699983e-12  8.25000000e-01  2.47500000e+00 
 1.80066440e-07  1.00000000e-06  2.18865589e-12  8.25000000e-01  2.47500000e+00 
 2.13066440e-07  1.00000000e-06  2.23552708e-12  8.25000000e-01  2.47500000e+00 
 2.46066440e-07  1.00000000e-06  2.23437258e-12  8.25000000e-01  2.47500000e+00 
 2.79066440e-07  1.00000000e-06  2.23390809e-12  8.25000000e-01  2.47500000e+00 
 3.12066440e-07  1.00000000e-06  2.23384718e-12  8.25000000e-01  2.47500000e+00 
 3.45066440e-07  1.00000000e-06  2.23398217e-12  8.25000000e-01  2.47500000e+00 
 3.78066440e-07  1.00000000e-06  2.23392406e-12  8.25000000e-01  2.47500000e+00 
 4.11066440e-07  1.00000000e-06  2.23391388e-12  8.25000000e-01  2.47500000e+00 
 4.44066440e-07  1.00000000e-06  2.23392557e-12  8.25000000e-01  2.47500000e+00 
 4.77066440e-07  1.00000000e-06  2.23392237e-12  8.25000000e-01  2.47500000e+00 
 5.10066440e-07  1.00000000e-06  2.23392388e-12  8.25000000e-01  2.47500000e+00 
 5.43066440e-07  1.00000000e-06  2.23392327e-12  8.25000000e-01  2.47500000e+00 
 5.76066440e-07  1.00000000e-06  2.23392261e-12  8.25000000e-01  2.47500000e+00 
 6.09066440e-07  1.00000000e-06  2.23392387e-12  8.25000000e-01  2.47500000e+00 
 6.42066440e-07  1.00000000e-06  2.23392294e-12  8.25000000e-01  2.47500000e+00 
 6.75066440e-07  1.00000000e-06  2.23392361e-12  8.25000000e-01  2.47500000e+00 
 7.08066440e-07  1.00000000e-06  2.23392270e-12  8.25000000e-01  2.47500000e+00 
 7.41066440e-07  1.00000000e-06  2.23392347e-12  8.25000000e-01  2.47500000e+00 
 7.74066440e-07  1.00000000e-06  2.23392300e-12  8.25000000e-01  2.47500000e+00 
 7.78191440e-07  1.00000000e-06  2.23392722e-12  8.25000000e-01  2.47500000e+00 
 7.86441440e-07  1.00000000e-06  2.23391683e-12  8.25000000e-01  2.47500000e+00 
 7.88503940e-07  1.00000000e-06  2.23393539e-12  8.25000000e-01  2.47500000e+00 
 7.92628940e-07  1.00000000e-06  2.23390491e-12  8.25000000e-01  2.47500000e+00 
 8.00878940e-07  1.00000000e-06  2.23392572e-12  8.25000000e-01  2.47500000e+00 
 8.02941440e-07  1.00000000e-06  2.23391752e-12  8.25000000e-01  2.47500000e+00 
 8.06394932e-07  1.00000000e-06  2.23235217e-12  8.25000000e-01  2.47500000e+00 
 8.09936044e-07  1.00000000e-06  2.37948970e-12  8.25000000e-01  2.47500000e+00 
 8.12812462e-07  1.00000000e-06  4.17807628e-12  8.25000000e-01  2.47500000e+00 
 8.14550364e-07  1.00000000e-06  1.02828931e-11  8.25000000e-01  2.47500000e+00 
 8.15819511e-07  1.00000000e-06 -6.08860137e-10  8.25000000e-01  2.47500000e+00 
 8.16505788e-07  1.00000000e-06 -2.86786847e-09  8.25000000e-01  2.47500000e+00 
 8.16892889e-07  1.00000000e-06  1.16653200e-08  8.25000000e-01  2.47500000e+00 
 8.17206729e-07  1.00000000e-06  1.57799590e-07  8.25000000e-01  2.47500000e+00 
 8.17378023e-07  1.00000000e-06  9.44917937e-07  8.25000000e-01  2.47500000e+00 
 8.17500694e-07  1.00000000e-06  1.90586659e-06  8.25000000e-01  2.47500000e+00 
 8.17572750e-07  1.00000000e-06  3.69997422e-06  8.25000000e-01  2.47500000e+00 
 8.17607226e-07  1.00000000e-06 -3.55233604e-06  8.25000000e-01  2.47500000e+00 
