 time            i(i0)           i(v1)           vr1             vr2            
 0.00000000e+00  3.30000000e-06  3.10933008e-11  5.00000000e-02  5.50000000e-01 
 1.00000000e-10  3.30000000e-06 -2.82217257e-10  5.00000000e-02  5.50000000e-01 
 1.09298889e-10  3.30000000e-06  6.32543266e-10  5.00000000e-02  5.50000000e-01 
 1.27896668e-10  3.30000000e-06  4.60267953e-10  5.00000000e-02  5.50000000e-01 
 1.65092226e-10  3.30000000e-06  2.93069573e-10  5.00000000e-02  5.50000000e-01 
 2.39483341e-10  3.30000000e-06  1.56278504e-10  5.00000000e-02  5.50000000e-01 
 3.40858296e-10  3.30000000e-06  1.44091814e-11  5.00000000e-02  5.50000000e-01 
 4.58250196e-10  3.30000000e-06 -4.91733713e-11  5.00000000e-02  5.50000000e-01 
 5.86722290e-10  3.30000000e-06 -4.41508801e-11  5.00000000e-02  5.50000000e-01 
 7.36457931e-10  3.30000000e-06 -1.24096263e-11  5.00000000e-02  5.50000000e-01 
 9.10041339e-10  3.30000000e-06  1.98040971e-11  5.00000000e-02  5.50000000e-01 
 1.13146870e-09  3.30000000e-06  3.89966834e-11  5.00000000e-02  5.50000000e-01 
 1.44091312e-09  3.30000000e-06  4.00088594e-11  5.00000000e-02  5.50000000e-01 
 1.91663079e-09  3.30000000e-06  3.37694563e-11  5.00000000e-02  5.50000000e-01 
 2.65058186e-09  3.30000000e-06  3.05102487e-11  5.00000000e-02  5.50000000e-01 
 3.79202156e-09  3.30000000e-06  3.05153094e-11  5.00000000e-02  5.50000000e-01 
 5.59710580e-09  3.30000000e-06  3.09921236e-11  5.00000000e-02  5.50000000e-01 
 8.57059080e-09  3.30000000e-06  3.11278648e-11  5.00000000e-02  5.50000000e-01 
 1.38192898e-08  3.30000000e-06  3.11107687e-11  5.00000000e-02  5.50000000e-01 
 2.38192898e-08  3.30000000e-06  3.10912718e-11  5.00000000e-02  5.50000000e-01 
 3.38192898e-08  3.30000000e-06  3.10946616e-11  5.00000000e-02  5.50000000e-01 
 4.38192898e-08  3.30000000e-06  3.10948936e-11  5.00000000e-02  5.50000000e-01 
 5.38192898e-08  3.30000000e-06  3.10951098e-11  5.00000000e-02  5.50000000e-01 
 6.26606270e-08  3.30000000e-06  3.10867933e-11  5.00000000e-02  5.50000000e-01 
 6.68377247e-08  3.30000000e-06  3.10968184e-11  5.00000000e-02  5.50000000e-01 
 7.00168208e-08  3.30000000e-06  3.10254123e-11  5.00000000e-02  5.50000000e-01 
 7.23741418e-08  3.30000000e-06  2.85821273e-11  5.00000000e-02  5.50000000e-01 
 7.38364191e-08  3.30000000e-06  1.36841546e-11  5.00000000e-02  5.50000000e-01 
 7.55755067e-08  3.30000000e-06  3.53719439e-11  5.00000000e-02  5.50000000e-01 
 7.81023777e-08  3.30000000e-06  4.30857847e-11  5.00000000e-02  5.50000000e-01 
 7.98757815e-08  3.30000000e-06  2.10032437e-11  5.00000000e-02  5.50000000e-01 
 8.19228795e-08  3.30000000e-06  4.06758829e-11  5.00000000e-02  5.50000000e-01 
 8.38950150e-08  3.30000000e-06  3.00349076e-11  5.00000000e-02  5.50000000e-01 
 8.64625319e-08  3.30000000e-06  3.77385435e-11  5.00000000e-02  5.50000000e-01 
 8.91450795e-08  3.30000000e-06  1.65710661e-09  5.00000000e-02  5.50000000e-01 
 9.15126314e-08  3.30000000e-06  2.08090870e-08  5.00000000e-02  5.50000000e-01 
 9.29863198e-08  3.30000000e-06  9.24695977e-08  5.00000000e-02  5.50000000e-01 
 9.39097882e-08  3.30000000e-06  9.27840898e-08  5.00000000e-02  5.50000000e-01 
 9.44602070e-08  3.30000000e-06 -2.42525237e-05  5.00000000e-02  5.50000000e-01 
 9.48583418e-08  3.30000000e-06 -1.27672538e-04  5.00000000e-02  5.50000000e-01 
 9.50518935e-08  3.30000000e-06 -4.33919554e-04  5.00000000e-02  5.50000000e-01 
 9.51869624e-08  3.30000000e-06 -7.85144193e-04  5.00000000e-02  5.50000000e-01 
 9.52419944e-08  3.30000000e-06 -6.41013028e-04  5.00000000e-02  5.50000000e-01 
 9.52765864e-08  3.30000000e-06 -2.46441756e-04  5.00000000e-02  5.50000000e-01 
 9.53125586e-08  3.30000000e-06  1.27060197e-04  5.00000000e-02  5.50000000e-01 
 9.53404941e-08  3.30000000e-06  2.11319554e-04  5.00000000e-02  5.50000000e-01 
 9.53585879e-08  3.30000000e-06  3.61375492e-04  5.00000000e-02  5.50000000e-01 
