 time            i(i0)           i(v1)           vr1             vr2            
 0.00000000e+00  3.30000000e-06 -1.41829256e-12  1.60000000e+00  1.70000000e+00 
 1.00000000e-10  3.30000000e-06 -2.72826390e-10  1.60000000e+00  1.70000000e+00 
 1.09303968e-10  3.30000000e-06  7.03576248e-10  1.60000000e+00  1.70000000e+00 
 1.27911904e-10  3.30000000e-06  4.11553926e-10  1.60000000e+00  1.70000000e+00 
 1.65127777e-10  3.30000000e-06  1.67741227e-10  1.60000000e+00  1.70000000e+00 
 2.39559522e-10  3.30000000e-06  2.68749642e-11  1.60000000e+00  1.70000000e+00 
 3.41060547e-10  3.30000000e-06 -4.26192003e-11  1.60000000e+00  1.70000000e+00 
 4.58583561e-10  3.30000000e-06 -5.51716515e-11  1.60000000e+00  1.70000000e+00 
 5.87282000e-10  3.30000000e-06 -4.25349792e-11  1.60000000e+00  1.70000000e+00 
 7.37281976e-10  3.30000000e-06 -2.62995187e-11  1.60000000e+00  1.70000000e+00 
 9.11235726e-10  3.30000000e-06 -1.09868014e-11  1.60000000e+00  1.70000000e+00 
 1.13333420e-09  3.30000000e-06 -2.95210554e-14  1.60000000e+00  1.70000000e+00 
 1.44400914e-09  3.30000000e-06  2.53493325e-12  1.60000000e+00  1.70000000e+00 
 1.92197627e-09  3.30000000e-06  9.69008038e-13  1.60000000e+00  1.70000000e+00 
 2.65915682e-09  3.30000000e-06 -9.00364168e-13  1.60000000e+00  1.70000000e+00 
 3.80607945e-09  3.30000000e-06 -1.71922125e-12  1.60000000e+00  1.70000000e+00 
 5.61997225e-09  3.30000000e-06 -1.47039318e-12  1.60000000e+00  1.70000000e+00 
 8.61012801e-09  3.30000000e-06 -1.48072972e-12  1.60000000e+00  1.70000000e+00 
 1.38926967e-08  3.30000000e-06 -1.69423538e-12  1.60000000e+00  1.70000000e+00 
 2.38926967e-08  3.30000000e-06 -8.69401625e-13  1.60000000e+00  1.70000000e+00 
 3.38926967e-08  3.30000000e-06 -1.23171767e-12  1.60000000e+00  1.70000000e+00 
 4.38926967e-08  3.30000000e-06 -1.44182992e-12  1.60000000e+00  1.70000000e+00 
 5.38926967e-08  3.30000000e-06 -1.57727774e-12  1.60000000e+00  1.70000000e+00 
 6.27055850e-08  3.30000000e-06 -1.96513837e-12  1.60000000e+00  1.70000000e+00 
 6.68606234e-08  3.30000000e-06 -1.79535962e-12  1.60000000e+00  1.70000000e+00 
 7.00272817e-08  3.30000000e-06 -1.33749774e-12  1.60000000e+00  1.70000000e+00 
 7.23848826e-08  3.30000000e-06 -3.87415547e-12  1.60000000e+00  1.70000000e+00 
 7.38427840e-08  3.30000000e-06 -1.76104809e-11  1.60000000e+00  1.70000000e+00 
 7.55765582e-08  3.30000000e-06  1.73569246e-12  1.60000000e+00  1.70000000e+00 
 7.81285873e-08  3.30000000e-06  9.61384249e-12  1.60000000e+00  1.70000000e+00 
 7.99085637e-08  3.30000000e-06 -1.01480844e-11  1.60000000e+00  1.70000000e+00 
 8.19573370e-08  3.30000000e-06  7.08799176e-12  1.60000000e+00  1.70000000e+00 
 8.39317726e-08  3.30000000e-06 -2.28650367e-12  1.60000000e+00  1.70000000e+00 
 8.65077221e-08  3.30000000e-06  6.11425928e-12  1.60000000e+00  1.70000000e+00 
 8.92029022e-08  3.30000000e-06  1.62401186e-09  1.60000000e+00  1.70000000e+00 
 9.15943370e-08  3.30000000e-06  2.04325519e-08  1.60000000e+00  1.70000000e+00 
 9.30663589e-08  3.30000000e-06  9.21745896e-08  1.60000000e+00  1.70000000e+00 
 9.39628401e-08  3.30000000e-06 -1.53994253e-07  1.60000000e+00  1.70000000e+00 
 9.45050770e-08  3.30000000e-06 -2.67725749e-05  1.60000000e+00  1.70000000e+00 
 9.48277635e-08  3.30000000e-06 -9.96435752e-05  1.60000000e+00  1.70000000e+00 
 9.50035873e-08  3.30000000e-06 -2.47394365e-04  1.60000000e+00  1.70000000e+00 
 9.50971319e-08  3.30000000e-06 -1.69783332e-04  1.60000000e+00  1.70000000e+00 
 9.51595009e-08  3.30000000e-06  4.07171154e-04  1.60000000e+00  1.70000000e+00 
 9.52072907e-08  3.30000000e-06  1.26029451e-03  1.60000000e+00  1.70000000e+00 
 9.52486030e-08  3.30000000e-06  1.78293341e-03  1.60000000e+00  1.70000000e+00 
 9.52672852e-08  3.30000000e-06  1.45295677e-03  1.60000000e+00  1.70000000e+00 
 9.52805875e-08  3.30000000e-06  1.16982987e-03  1.60000000e+00  1.70000000e+00 
 9.52954889e-08  3.30000000e-06  7.61515645e-04  1.60000000e+00  1.70000000e+00 
 9.53106174e-08  3.30000000e-06  4.11614079e-04  1.60000000e+00  1.70000000e+00 
 9.53277694e-08  3.30000000e-06  1.70714784e-04  1.60000000e+00  1.70000000e+00 
 9.53522242e-08  3.30000000e-06  3.00375349e-05  1.60000000e+00  1.70000000e+00 
 9.53796846e-08  3.30000000e-06 -1.98330183e-06  1.60000000e+00  1.70000000e+00 
 9.54087844e-08  3.30000000e-06  1.14376601e-07  1.60000000e+00  1.70000000e+00 
 9.54488934e-08  3.30000000e-06  3.67128320e-06  1.60000000e+00  1.70000000e+00 
 9.55149326e-08  3.30000000e-06  3.71013083e-06  1.60000000e+00  1.70000000e+00 
 9.55958920e-08  3.30000000e-06  2.50031608e-06  1.60000000e+00  1.70000000e+00 
 9.56820438e-08  3.30000000e-06  1.40257158e-06  1.60000000e+00  1.70000000e+00 
 9.57522106e-08  3.30000000e-06  1.06498628e-06  1.60000000e+00  1.70000000e+00 
 9.58486305e-08  3.30000000e-06  6.81011736e-07  1.60000000e+00  1.70000000e+00 
 9.60266194e-08  3.30000000e-06  2.78700520e-07  1.60000000e+00  1.70000000e+00 
 9.61893560e-08  3.30000000e-06  1.19736605e-07  1.60000000e+00  1.70000000e+00 
 9.64617707e-08  3.30000000e-06  3.06513056e-09  1.60000000e+00  1.70000000e+00 
 9.67176581e-08  3.30000000e-06 -1.72435917e-08  1.60000000e+00  1.70000000e+00 
 9.71348012e-08  3.30000000e-06 -1.48730954e-08  1.60000000e+00  1.70000000e+00 
 9.76257159e-08  3.30000000e-06 -6.44563149e-09  1.60000000e+00  1.70000000e+00 
 9.80037917e-08  3.30000000e-06 -3.35904382e-09  1.60000000e+00  1.70000000e+00 
 9.84093795e-08  3.30000000e-06 -1.25816483e-08  1.60000000e+00  1.70000000e+00 
 9.87991493e-08  3.30000000e-06 -3.62885428e-08  1.60000000e+00  1.70000000e+00 
 9.89666077e-08  3.30000000e-06 -2.26704186e-07  1.60000000e+00  1.70000000e+00 
 9.90723157e-08  3.30000000e-06 -1.66475970e-07  1.60000000e+00  1.70000000e+00 
 9.91329240e-08  3.30000000e-06  8.52984577e-07  1.60000000e+00  1.70000000e+00 
 9.91841294e-08  3.30000000e-06  2.09750033e-06  1.60000000e+00  1.70000000e+00 
 9.92099761e-08  3.30000000e-06  2.52058287e-06  1.60000000e+00  1.70000000e+00 
 9.92319953e-08  3.30000000e-06 -1.18664733e-06  1.60000000e+00  1.70000000e+00 
 9.92560656e-08  3.30000000e-06 -4.36234177e-06  1.60000000e+00  1.70000000e+00 
 9.92769686e-08  3.30000000e-06 -4.80499578e-06  1.60000000e+00  1.70000000e+00 
 9.93022496e-08  3.30000000e-06 -2.62475234e-06  1.60000000e+00  1.70000000e+00 
